Cap waktu,,2. Jenis Kelamin,3. Umur,1. Seberapa efektif penjelasan yang diberikan oleh pemandu wisata dalam membantu Anda memahami atraksi di destinasi ini?,2.  Seberapa efektif penjelasan yang diberikan oleh pemandu wisata dalam membantu Anda membayangkan kehidupan masyarakat pada zaman dahulu?,3.  Seberapa menarik cerita yang diberikan oleh pemandu wisata? ,4. Bagaimana Anda menilai interaksi dan keterlibatan pemandu wisata dalam membuat kunjungan Anda lebih berkesan? ,5.  Seberapa puas Anda dengan pengalaman wisata Anda ditemani dengan pemandu wisata? ,6.  Seberapa baik pemandu wisata dalam menjawab pertanyaan Anda? ,7.  Seberapa baik pemandu wisata dalam memberikan penjelasan tentang aspek budaya dan sejarah dari atraksi yang dikunjungi? ,8.  Seberapa baik pemandu wisata dalam menjaga kecepatan tur agar semua orang dapat mengikuti dengan nyaman? ,9.  Seberapa interaktif dan komunikatif pemandu wisata selama tur berlangsung? ,10.  Seberapa besar kemungkinan Anda akan merekomendasikan tur dengan pemandu manusia ini kepada teman atau keluarga? ,1.  Seberapa efektif penjelasan yang diberikan oleh pemandu wisata dan model dalam AR untuk membantu Anda memahami atraksi di destinasi ini? ,2.  Bagaimana Anda menilai kualitas visual aplikasi AR dan penjelasan pemandu wisata dalam membantu Anda membayangkan kehidupan di zaman dahulu? ,3.  Seberapa menarik cerita yang diberikan oleh pemandu wisata dan kisah dari model AR? ,4.  Bagaimana Anda menilai interaksi dan keterlibatan pemandu wisata dan aplikasi AR dalam membuat kunjungan Anda lebih berkesan? ,5. Seberapa puas Anda dengan pengalaman wisata Anda ditemani dengan pemandu wisata dan aplikasi AR? ,6.  Seberapa mudah penggunaan aplikasi AR untuk mengakses informasi tambahan selama tur? ,7.  Bagaimana Anda menilai kualitas informasi budaya dan sejarah yang disampaikan melalui aplikasi AR? ,8.  Seberapa nyaman Anda menggunakan perangkat AR selama tur berlangsung? ,9.  Seberapa baik aplikasi AR melengkapi penjelasan yang diberikan oleh pemandu manusia? ,10. Seberapa besar kemungkinan Anda akan merekomendasikan tur dengan kombinasi pemandu manusia dan aplikasi AR ini kepada teman atau keluarga? 
2024/06/29 7:57:59 PM GMT+7,,Pria,18 - 32,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
2024/06/30 8:45:49 PM GMT+7,,Pria,18 - 32,2,2,1,3,4,5,5,2,1,2,3,4,3,4,5,3,3,4,4,5
2024/06/30 8:45:56 PM GMT+7,,Pria,18 - 32,4,4,3,3,3,4,4,4,4,4,5,4,4,3,5,3,4,5,4,4
2024/06/30 8:50:53 PM GMT+7,,Pria,18 - 32,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
2024/06/30 8:51:46 PM GMT+7,,Pria,18 - 32,3,3,2,2,2,2,2,3,2,3,4,4,3,4,5,3,3,4,4,4
2024/06/30 8:53:33 PM GMT+7,,Pria,18 - 32,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
2024/06/30 8:55:32 PM GMT+7,,Pria,18 - 32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/06/30 9:01:20 PM GMT+7,,Pria,> 32,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
2024/06/30 9:10:30 PM GMT+7,,Pria,18 - 32,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
2024/06/30 10:21:29 PM GMT+7,,Wanita,> 32,4,4,4,4,4,4,4,4,4,4,5,5,5,3,4,5,5,5,4,5
2024/06/30 10:38:47 PM GMT+7,,Wanita,18 - 32,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,4,4,4
2024/06/30 11:09:11 PM GMT+7,,Pria,18 - 32,3,2,3,3,4,5,3,5,4,4,5,4,5,4,5,3,4,4,5,5
2024/07/01 4:03:04 AM GMT+7,,Wanita,> 32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/01 5:06:49 AM GMT+7,,Pria,18 - 32,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,5
2024/07/01 5:26:20 PM GMT+7,,Pria,18 - 32,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
2024/07/01 8:47:34 PM GMT+7,,Pria,18 - 32,3,2,4,3,4,5,4,3,3,3,3,4,4,4,5,4,4,3,3,3
2024/07/07 6:35:14 PM GMT+7,,Wanita,18 - 32,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4
